word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	so	so.ADV				SEB	eng	herring7		
2	1	2	uh	uh.IM				SEB	eng&spa	herring7		
3	1	3	the	the.DET.DEF				SEB	eng	herring7		
4	1	4	book	book.N.SG				SEB	eng	herring7		
5	1	5	is	is.V.3S.PRES				SEB	eng	herring7		
6	1	6	is	is.V.3S.PRES				SEB	eng	herring7		
7	1	7	like	like.CONJ				SEB	eng	herring7		
8	1	8	you've	you.PRON.SUB.2SP+HAVE.V.PRES				SEB	eng	herring7		
9	1	9	read	read.V.2SP.PRES				SEB	eng	herring7		
10	1	10	the	the.DET.DEF				SEB	eng	herring7		
11	1	11	book	book.N.SG				SEB	eng	herring7		
12	1	12	you	you.PRON.SUB.2SP				SEB	eng	herring7		
13	1	13	don't	do.V.2SP.PRES+NEG				SEB	eng	herring7		
14	1	14	wanna	want.V.INFIN+TO.PREP				SEB	eng	herring7		
15	1	15	watch	watch.V.INFIN				SEB	eng	herring7		
16	1	16	the	the.DET.DEF				SEB	eng	herring7		
17	1	17	movie	movie.N.SG				SEB	eng	herring7		
18	1	18	.					SEB	999	herring7		
19	2	1	like	like.CONJ.[or].like.V.INFIN				SEB	eng	herring7		
20	2	2	the	the.DET.DEF				SEB	eng	herring7		
21	2	3	end	end.N.SG				SEB	eng	herring7		
22	2	4	.					SEB	999	herring7		
23	3	1	but	but.CONJ				RIC	eng	herring7		
24	3	2	I	I.PRON.SUB.1S				RIC	eng	herring7		
25	3	3	like	like.V.1S.PRES				RIC	eng	herring7		
26	3	4	the	the.DET.DEF				RIC	eng	herring7		
27	3	5	movie	movie.N.SG				RIC	eng	herring7		
28	3	6	.					RIC	999	herring7		
29	4	1	but	but.CONJ				SEB	eng	herring7		
30	4	2	if	if.CONJ				SEB	eng	herring7		
31	4	3	you	you.PRON.SUB.2SP				SEB	eng	herring7		
32	4	4	when	when.CONJ				SEB	eng	herring7		
33	4	5	you	you.PRON.SUB.2SP				SEB	eng	herring7		
34	4	6	when	when.CONJ				SEB	eng	herring7		
35	4	7	you	you.PRON.SUB.2SP				SEB	eng	herring7		
36	4	8	read	read.V.2SP.PRES				SEB	eng	herring7		
37	4	9	the	the.DET.DEF				SEB	eng	herring7		
38	4	10	book	book.N.SG				SEB	eng	herring7		
39	4	11	you	you.PRON.SUB.2SP				SEB	eng	herring7		
40	4	12	don't	do.V.2SP.PRES+NEG				SEB	eng	herring7		
41	4	13	wanna	want.V.INFIN+TO.PREP				SEB	eng	herring7		
42	4	14	you	you.PRON.SUB.2SP				SEB	eng	herring7		
43	4	15	you	you.PRON.SUB.2SP				SEB	eng	herring7		
44	4	16	say	say.V.2SP.PRES				SEB	eng	herring7		
45	4	17	what	what.REL				SEB	eng	herring7		
46	4	18	why	why.REL				SEB	eng	herring7		
47	4	19	they	they.PRON.SUB.3P				SEB	eng	herring7		
48	4	20	they	they.PRON.SUB.3P				SEB	eng	herring7		
49	4	21	don't	do.V.3P.PRES+NEG				SEB	eng	herring7		
50	4	22	do	do.V.INFIN				SEB	eng	herring7		
51	4	23	that	that.CONJ.[or].that.DEM.FAR				SEB	eng	herring7		
52	4	24	in	in.PREP				SEB	eng	herring7		
53	4	25	the	the.DET.DEF				SEB	eng	herring7		
54	4	26	movie	movie.N.SG				SEB	eng	herring7		
55	4	27	you	you.PRON.SUB.2SP				SEB	eng	herring7		
56	4	28	know	know.V.2SP.PRES				SEB	eng	herring7		
57	4	29	.					SEB	999	herring7		
58	5	1	yeah	yeah.ADV				RIC	eng	herring7		
59	5	2	.					RIC	999	herring7		
60	6	1	and	and.CONJ				SEB	eng	herring7		
61	6	2	at	at.PREP				SEB	eng	herring7		
62	6	3	the	the.DET.DEF				SEB	eng	herring7		
63	6	4	end	end.N.SG				SEB	eng	herring7		
64	6	5	they	they.PRON.SUB.3P				SEB	eng	herring7		
65	6	6	put	put.V.3P.PRES				SEB	eng	herring7		
66	6	7	they	they.PRON.SUB.3P				SEB	eng	herring7		
67	6	8	put	put.V.3P.PRES				SEB	eng	herring7		
68	6	9	like	like.CONJ				SEB	eng	herring7		
69	6	10	ah	ah.IM				SEB	eng	herring7		
70	6	11	como	like.CONJ				SEB	spa	herring7		
71	6	12	una	a.DET.INDEF.F.SG				SEB	spa	herring7		
72	6	13	inyección	injection.N.F.SG				SEB	spa	herring7		
73	6	14	.					SEB	999	herring7		
74	7	1	se	to_him.PRON.INDIR.MF.3SP				SEB	spa	herring7		
75	7	2	la	her.PRON.OBJ.F.3S				SEB	spa	herring7		
76	7	3	ponen	put.V.3P.PRES				SEB	spa	herring7		
77	7	4	and	and.CONJ				SEB	eng	herring7		
78	7	5	like	like.CONJ.[or].like.V.INFIN				SEB	eng	herring7		
79	7	6	.					SEB	999	herring7		
80	8	1	él	he.PRON.SUB.M.3S				SEB	spa	herring7		
81	8	2	podía	be_able.V.13S.IMPERF				SEB	spa	herring7		
82	8	3	escoger	choose.V.INFIN				SEB	spa	herring7		
83	8	4	o	or.CONJ				SEB	spa	herring7		
84	8	5	una	a.DET.INDEF.F.SG				SEB	spa	herring7		
85	8	6	inyección	injection.N.F.SG				SEB	spa	herring7		
86	8	7	o	or.CONJ				SEB	spa	herring7		
87	8	8	unas	one.DET.INDEF.F.PL				SEB	spa	herring7		
88	8	9	pastillas	tablet.N.F.PL				SEB	spa	herring7		
89	8	10	tomarse	take.V.INFIN+SE[PRON.MF.3S]				SEB	spa	herring7		
90	8	11	unas	one.DET.INDEF.F.PL				SEB	spa	herring7		
91	8	12	pastillas	tablet.N.F.PL				SEB	spa	herring7		
92	8	13	o	or.CONJ				SEB	spa	herring7		
93	8	14	salir	exit.V.INFIN				SEB	spa	herring7		
94	8	15	para	for.PREP				SEB	spa	herring7		
95	8	16	la	the.DET.DEF.F.SG				SEB	spa	herring7		
96	8	17	calle	street.N.F.SG				SEB	spa	herring7		
97	8	18	y	and.CONJ				SEB	spa	herring7		
98	8	19	fajarse	wrap.V.INFIN+SE[PRON.MF.3S].[or].exert.V.INFIN				SEB	spa	herring7		
99	8	20	contra	against.PREP				SEB	spa	herring7		
100	8	21	todo	all.ADJ.M.SG				SEB	spa	herring7		
101	8	22	el	the.DET.DEF.M.SG				SEB	spa	herring7		
102	8	23	mundo	world.N.M.SG				SEB	spa	herring7		
103	8	24	.					SEB	999	herring7		
104	9	1	he	he.PRON.SUB.M.3S				SEB	eng	herring7		
105	9	2	was	was.V.3S.PAST				SEB	eng	herring7		
106	9	3	like	like.CONJ				SEB	eng	herring7		
107	9	4	like	like.CONJ				SEB	eng	herring7		
108	9	5	a	a.DET.INDEF				SEB	eng	herring7		
109	9	6	murderer	murder.N.SG+COMP.AG.[or].murderer.N.SG				SEB	eng	herring7		
110	9	7	.					SEB	999	herring7		
111	10	1	for	for.PREP				SEB	eng	herring7		
112	10	2	them	them.PRON.OBJ.3P				SEB	eng	herring7		
113	10	3	it	it.PRON.SUB.3S				SEB	eng	herring7		
114	10	4	was	was.V.3S.PAST				SEB	eng	herring7		
115	10	5	he	he.PRON.SUB.M.3S				SEB	eng	herring7		
116	10	6	was	was.V.3S.PAST				SEB	eng	herring7		
117	10	7	like	like.CONJ				SEB	eng	herring7		
118	10	8	a	a.DET.INDEF				SEB	eng	herring7		
119	10	9	murderer	murder.N.SG+COMP.AG.[or].murderer.N.SG				SEB	eng	herring7		
120	10	10	.					SEB	999	herring7		
121	11	1	a	a.DET.INDEF				RIC	eng	herring7		
122	11	2	murder	murder.N.SG				RIC	eng	herring7		
123	11	3	?					RIC	999	herring7		
124	12	1	yeah	yeah.ADV				SEB	eng	herring7		
125	12	2	como	like.CONJ				SEB	spa	herring7		
126	12	3	un	one.DET.INDEF.M.SG				SEB	spa	herring7		
127	12	4	asesino	murderer.N.M.SG				SEB	spa	herring7		
128	12	5	porque	because.CONJ				SEB	spa	herring7		
129	12	6	ya	already.ADV				SEB	spa	herring7		
130	12	7	ellos	they.PRON.SUB.M.3P				SEB	spa	herring7		
131	12	8	tenían	have.V.3P.IMPERF				SEB	spa	herring7		
132	12	9	su	his.ADJ.POSS.MF.3SP.SG				SEB	spa	herring7		
133	12	10	comunidad	community.N.F.SG				SEB	spa	herring7		
134	12	11	comunidad	community.N.F.SG				SEB	spa	herring7		
135	12	12	ahí	there.ADV				SEB	spa	herring7		
136	12	13	.					SEB	999	herring7		
137	13	1	yeah	yeah.ADV				RIC	eng	herring7		
138	13	2	.					RIC	999	herring7		
139	14	1	you	you.PRON.SUB.2SP				SEB	eng	herring7		
140	14	2	know	know.V.2SP.PRES				SEB	eng	herring7		
141	14	3	.					SEB	999	herring7		
142	15	1	they	they.PRON.SUB.3P				RIC	eng	herring7		
143	15	2	were	were.V.3P.PAST				RIC	eng	herring7		
144	15	3	like	like.CONJ				RIC	eng	herring7		
145	15	4	living	live.V.PRESPART				RIC	eng	herring7		
146	15	5	like	like.CONJ				RIC	eng	herring7		
147	15	6	normal	normal.ADJ				RIC	eng	herring7		
148	15	7	.					RIC	999	herring7		
149	16	1	yeah	yeah.ADV				RIC	eng	herring7		
150	16	2	but	but.CONJ				RIC	eng	herring7		
151	16	3	they're	they.PRON.SUB.3P+BE.V.PRES				RIC	eng	herring7		
152	16	4	crazy	crazy.ADJ				RIC	eng	herring7		
153	16	5	they	they.PRON.SUB.3P				RIC	eng	herring7		
154	16	6	kill	kill.V.3P.PRES				RIC	eng	herring7		
155	16	7	people	people.N.SG				RIC	eng	herring7		
156	16	8	like	like.CONJ.[or].like.N.SG				RIC	eng	herring7		
157	16	9	.					RIC	999	herring7		
158	17	1	no	no.ADV				SEB	eng	herring7		
159	17	2	they	they.PRON.SUB.3P				SEB	eng	herring7		
160	17	3	don't	do.V.3P.PRES+NEG				SEB	eng	herring7		
161	17	4	kill	kill.V.INFIN				SEB	eng	herring7		
162	17	5	people	people.N.SG				SEB	eng	herring7		
163	17	6	.					SEB	999	herring7		
164	18	1	they	they.PRON.SUB.3P				SEB	eng	herring7		
165	18	2	don't	do.V.3P.PRES+NEG				SEB	eng	herring7		
166	18	3	kill	kill.V.INFIN				SEB	eng	herring7		
167	18	4	.					SEB	999	herring7		
168	19	1	ellos	they.PRON.SUB.M.3P				SEB	spa	herring7		
169	19	2	no	not.ADV				SEB	spa	herring7		
170	19	3	mataban	kill.V.3P.IMPERF				SEB	spa	herring7		
171	19	4	a	to.PREP				SEB	spa	herring7		
172	19	5	su	his.ADJ.POSS.MF.3SP.SG				SEB	spa	herring7		
173	19	6	propia	own.ADJ.F.SG				SEB	spa	herring7		
174	19	7	gente	people.N.F.SG				SEB	spa	herring7		
175	19	8	.					SEB	999	herring7		
176	20	1	ellos	they.PRON.SUB.M.3P				SEB	spa	herring7		
177	20	2	mataban	kill.V.3P.IMPERF				SEB	spa	herring7		
178	20	3	a	to.PREP				SEB	spa	herring7		
179	20	4	la	the.DET.DEF.F.SG				SEB	spa	herring7		
180	20	5	gente	people.N.F.SG				SEB	spa	herring7		
181	20	6	como	like.CONJ				SEB	spa	herring7		
182	20	7	nosotros	we.PRON.SUB.M.1P				SEB	spa	herring7		
183	20	8	.					SEB	999	herring7		
184	21	1	pero	but.CONJ				RIC	spa	herring7		
185	21	2	exactly	exact.ADJ+ADV				RIC	eng	herring7		
186	21	3	that's	that.DEM.FAR+BE.V.3S.PRES				RIC	eng	herring7		
187	21	4	like	like.CONJ.[or].like.V.INFIN				RIC	eng	herring7		
188	21	5	that's	that.DEM.FAR+BE.V.3S.PRES				RIC	eng	herring7		
189	21	6	killing	kill.V.PRESPART				RIC	eng	herring7		
190	21	7	people	people.N.SG				RIC	eng	herring7		
191	21	8	.					RIC	999	herring7		
192	22	1	because	because.CONJ				RIC	eng	herring7		
193	22	2	there	there.ADV				RIC	eng	herring7		
194	22	3	were	were.V.2S123P.PAST				RIC	eng	herring7		
195	22	4	still	still.ADJ				RIC	eng	herring7		
196	22	5	some	some.ADJ				RIC	eng	herring7		
197	22	6	survivors	survivor.N.PL				RIC	eng	herring7		
198	22	7	left	left.ADJ.[or].leave.V.PAST				RIC	eng	herring7		
199	22	8	.					RIC	999	herring7		
200	23	1	you	you.PRON.SUB.2SP				SEB	eng	herring7		
201	23	2	know	know.V.2SP.PRES				SEB	eng	herring7		
202	23	3	but	but.CONJ				SEB	eng	herring7		
203	23	4	.					SEB	999	herring7		
204	24	1	I	I.PRON.SUB.1S				SEB	eng	herring7		
205	24	2	don't	do.V.1S.PRES+NEG				SEB	eng	herring7		
206	24	3	know	know.V.INFIN				SEB	eng	herring7		
207	24	4	.					SEB	999	herring7		
208	25	1	I	I.PRON.SUB.1S				RIC	eng	herring7		
209	25	2	know	know.V.1S.PRES				RIC	eng	herring7		
210	25	3	they	they.PRON.SUB.3P				RIC	eng	herring7		
211	25	4	they	they.PRON.SUB.3P				RIC	eng	herring7		
212	25	5	adapted	adapt.V.PAST				RIC	eng	herring7		
213	25	6	.					RIC	999	herring7		
214	26	1	adaptaron	suit.V.3P.PAST				RIC	spa	herring7		
215	26	2	a	to.PREP				RIC	spa	herring7		
216	26	3	a	to.PREP				RIC	spa	herring7		
217	26	4	la	the.DET.DEF.F.SG				RIC	spa	herring7		
218	26	5	vida	life.N.F.SG				RIC	spa	herring7		
219	26	6	de	of.PREP				RIC	spa	herring7		
220	26	7	ellos	they.PRON.SUB.M.3P				RIC	spa	herring7		
221	26	8	.					RIC	999	herring7		
222	27	1	yeah	yeah.ADV				SEB	eng	herring7		
223	27	2	.					SEB	999	herring7		
224	28	1	I	I.PRON.SUB.1S				RIC	eng	herring7		
225	28	2	got	got.V.PAST				RIC	eng	herring7		
226	28	3	it	it.PRON.OBJ.3S				RIC	eng	herring7		
227	28	4	.					RIC	999	herring7		
228	29	1	I	I.PRON.SUB.1S				RIC	eng	herring7		
229	29	2	wanna	want.V.1S.PRES+TO.PREP				RIC	eng	herring7		
230	29	3	see	see.V.INFIN				RIC	eng	herring7		
231	29	4	it	it.PRON.OBJ.3S				RIC	eng	herring7		
232	29	5	I	I.PRON.SUB.1S				RIC	eng	herring7		
233	29	6	wanna	want.V.1S.PRES+TO.PREP				RIC	eng	herring7		
234	29	7	see	see.V.INFIN				RIC	eng	herring7		
235	29	8	it	it.PRON.OBJ.3S				RIC	eng	herring7		
236	29	9	.					RIC	999	herring7		
237	30	1	have	have.V.INFIN				SEB	eng	herring7		
238	30	2	you	you.PRON.SUB.2SP				SEB	eng	herring7		
239	30	3	seen	seen.V.PASTPART				SEB	eng	herring7		
240	30	4	the	the.DET.DEF				SEB	eng	herring7		
241	30	5	the	the.DET.DEF				SEB	eng	herring7		
242	30	6	first	first.ADJ				SEB	eng	herring7		
243	30	7	one	one.PRON.SG				SEB	eng	herring7		
244	30	8	?					SEB	999	herring7		
245	31	1	the	the.DET.DEF				SEB	eng	herring7		
246	31	2	one	one.PRON.SG				SEB	eng	herring7		
247	31	3	that	that.CONJ.[or].that.DEM.FAR				SEB	eng	herring7		
248	31	4	the	the.DET.DEF				SEB	eng	herring7		
249	31	5	one	one.PRON.SG				SEB	eng	herring7		
250	31	6	that	that.CONJ.[or].that.DEM.FAR				SEB	eng	herring7		
251	31	7	came	came.AV.PAST				SEB	eng	herring7		
252	31	8	on	on.PREP				SEB	eng	herring7		
253	31	9	the	the.DET.DEF				SEB	eng	herring7		
254	31	10	on	on.PREP				SEB	eng	herring7		
255	31	11	the	the.DET.DEF				SEB	eng	herring7		
256	31	12	movie	movie.N.SG				SEB	eng	herring7		
257	31	13	on	on.PREP				SEB	eng	herring7		
258	31	14	the	the.DET.DEF				SEB	eng	herring7		
259	31	15	movie	movie.N.SG				SEB	eng	herring7		
260	31	16	theater	theat.N.SG+COMP.AG.[or].theater.N.SG				SEB	eng	herring7		
261	31	17	.					SEB	999	herring7		
262	32	1	the	the.DET.DEF				RIC	eng	herring7		
263	32	2	movie	movie.N.SG				RIC	eng	herring7		
264	32	3	yeah	yeah.ADV				RIC	eng	herring7		
265	32	4	yeah	yeah.ADV				RIC	eng	herring7		
266	32	5	.					RIC	999	herring7		
267	33	1	I	I.PRON.SUB.1S				RIC	eng	herring7		
268	33	2	wanna	want.V.1S.PRES+TO.PREP				RIC	eng	herring7		
269	33	3	buy	buy.V.INFIN				RIC	eng	herring7		
270	33	4	it	it.PRON.OBJ.3S				RIC	eng	herring7		
271	33	5	.					RIC	999	herring7		
272	34	1	that	that.CONJ.[or].that.DEM.FAR				SEB	eng	herring7		
273	34	2	the	the.DET.DEF				SEB	eng	herring7		
274	34	3	special	special.ADJ				SEB	eng	herring7		
275	34	4	edition	edition.N.SG				SEB	eng	herring7		
276	34	5	is	is.V.3S.PRES				SEB	eng	herring7		
277	34	6	the	the.DET.DEF				SEB	eng	herring7		
278	34	7	one	one.PRON.SG				SEB	eng	herring7		
279	34	8	that	that.DEM.FAR				SEB	eng	herring7		
280	34	9	comes	comes.N.SG.[or].come.V.3S.PRES				SEB	eng	herring7		
281	34	10	with	with.PREP				SEB	eng	herring7		
282	34	11	the	the.DET.DEF				SEB	eng	herring7		
283	34	12	.					SEB	999	herring7		
284	35	1	yeah	yeah.ADV				RIC	eng	herring7		
285	35	2	.					RIC	999	herring7		
286	36	1	it's	it.PRON.SUB.3S+BE.V.3S.PRES				SEB	eng	herring7		
287	36	2	like	like.CONJ				SEB	eng	herring7		
288	36	3	twenty	twenty.NUM				SEB	eng	herring7		
289	36	4	something	something.PRON				SEB	eng	herring7		
290	36	5	twenty	twenty.NUM				SEB	eng	herring7		
291	36	6	something	something.PRON				SEB	eng	herring7		
292	36	7	bucks	buck.N.PL				SEB	eng	herring7		
293	36	8	.					SEB	999	herring7		
294	37	1	I	I.PRON.SUB.1S				RIC	eng	herring7		
295	37	2	wanna	want.V.1S.PRES+TO.PREP				RIC	eng	herring7		
296	37	3	see	see.V.INFIN				RIC	eng	herring7		
297	37	4	it	it.PRON.OBJ.3S				RIC	eng	herring7		
298	37	5	.					RIC	999	herring7		
299	38	1	so	so.ADV				RIC	eng	herring7		
300	38	2	yeah	yeah.ADV				RIC	eng	herring7		
301	38	3	.					RIC	999	herring7		
302	39	1	and	and.CONJ				SEB	eng	herring7		
303	39	2	.					SEB	999	herring7		
304	40	1	and	and.CONJ				SEB	eng	herring7		
305	40	2	in	in.PREP				SEB	eng	herring7		
306	40	3	the	the.DET.DEF				SEB	eng	herring7		
307	40	4	in	in.PREP				SEB	eng	herring7		
308	40	5	the	the.DET.DEF				SEB	eng	herring7		
309	40	6	in	in.PREP				SEB	eng	herring7		
310	40	7	the	the.DET.DEF				SEB	eng	herring7		
311	40	8	book	book.N.SG				SEB	eng	herring7		
312	40	9	.					SEB	999	herring7		
313	41	1	hmm	hmm.IM				RIC	eng	herring7		
314	41	2	.					RIC	999	herring7		
315	42	1	they	they.PRON.SUB.3P				SEB	eng	herring7		
316	42	2	drink	drink.V.3P.PRES				SEB	eng	herring7		
317	42	3	the	the.DET.DEF				SEB	eng	herring7		
318	42	4	he	he.PRON.SUB.M.3S				SEB	eng	herring7		
319	42	5	drink	drink.V.3S.PRES				SEB	eng	herring7		
320	42	6	the	the.DET.DEF				SEB	eng	herring7		
321	42	7	pills	pill.N.PL.[or].pills.N.PL				SEB	eng	herring7		
322	42	8	.					SEB	999	herring7		
323	43	1	ah	ah.IM				SEB	eng	herring7		
324	43	2	it's	it.PRON.SUB.3S+BE.V.3S.PRES				SEB	eng	herring7		
325	43	3	like	like.CONJ.[or].like.SV.INFIN				SEB	eng	herring7		
326	43	4	like	like.CONJ				SEB	eng	herring7		
327	43	5	you	you.PRON.SUB.2SP				SEB	eng	herring7		
328	43	6	know	know.V.2SP.PRES				SEB	eng	herring7		
329	43	7	como	like.CONJ				SEB	spa	herring7		
330	43	8	que	that.CONJ				SEB	spa	herring7		
331	43	9	te	you.PRON.OBL.MF.2S				SEB	spa	herring7		
332	43	10	enfocan	focus.V.3P.PRES				SEB	spa	herring7		
333	43	11	que	that.CONJ				SEB	spa	herring7		
334	43	12	se	be.V.2P.IMPER.PRECLITIC				SEB	spa	herring7		
335	43	13	se	self.PRON.REFL.MF.3SP				SEB	spa	herring7		
336	43	14	fue	go.V.3S.PAST				SEB	spa	herring7		
337	43	15	como	like.CONJ				SEB	spa	herring7		
338	43	16	que	that.CONJ				SEB	spa	herring7		
339	43	17	se	self.PRON.REFL.MF.3SP				SEB	spa	herring7		
340	43	18	va	go.V.3S.PRES				SEB	spa	herring7		
341	43	19	yendo	go.V.PRESPART				SEB	spa	herring7		
342	43	20	así	thus.ADV				SEB	spa	herring7		
343	43	21	you	you.PRON.SUB.2SP				SEB	eng	herring7		
344	43	22	know	know.V.2SP.PRES				SEB	eng	herring7		
345	43	23	.					SEB	999	herring7		
346	44	1	but	but.CONJ				SEB	eng	herring7		
347	44	2	in	in.PREP				SEB	eng	herring7		
348	44	3	the	the.DET.DEF				SEB	eng	herring7		
349	44	4	book	book.N.SG				SEB	eng	herring7		
350	44	5	there	there.ADV				SEB	eng	herring7		
351	44	6	is	is.V.3S.PRES				SEB	eng	herring7		
352	44	7	a	a.DET.INDEF				SEB	eng	herring7		
353	44	8	girl	girl.N.SG				SEB	eng	herring7		
354	44	9	that	that.CONJ				SEB	eng	herring7		
355	44	10	betrayed	betray.V.INFIN+AV				SEB	eng	herring7		
356	44	11	him	him.PRON.OBJ.M.3S				SEB	eng	herring7		
357	44	12	que	that.CONJ				SEB	spa	herring7		
358	44	13	se	self.PRON.REFL.MF.3SP				SEB	spa	herring7		
359	44	14	hace	do.V.3S.PRES				SEB	spa	herring7		
360	44	15	pasar	pass.V.INFIN				SEB	spa	herring7		
361	44	16	por	for.PREP				SEB	spa	herring7		
362	44	17	humano	human.ADJ.M.SG.[or].human.N.M.SG				SEB	spa	herring7		
363	44	18	.					SEB	999	herring7		
364	45	1	y	and.CONJ				SEB	spa	herring7		
365	45	2	no	not.ADV				SEB	spa	herring7		
366	45	3	es	be.V.3S.PRES				SEB	spa	herring7		
367	45	4	humano	human.ADJ.M.SG.[or].human.N.M.SG				SEB	spa	herring7		
368	45	5	.					SEB	999	herring7		
369	46	1	es	be.V.3S.PRES				SEB	spa	herring7		
370	46	2	de	of.PREP				SEB	spa	herring7		
371	46	3	los	the.DET.DEF.M.PL				SEB	spa	herring7		
372	46	4	los	the.DET.DEF.M.PL				SEB	spa	herring7		
373	46	5	demás	other.ADJ				SEB	spa	herring7		
374	46	6	tipos	guy.N.M.PL				SEB	spa	herring7		
375	46	7	.					SEB	999	herring7		
376	47	1	oh	oh.IM				RIC	eng	herring7		
377	47	2	really	real.ADJ+ADV				RIC	eng	herring7		
378	47	3	?					RIC	999	herring7		
379	48	1	yeah	yeah.ADV				SEB	eng	herring7		
380	48	2	.					SEB	999	herring7		
381	49	1	oh	oh.IM				RIC	eng	herring7		
382	49	2	but	but.CONJ				RIC	eng	herring7		
383	49	3	.					RIC	999	herring7		
384	50	1	that's	that.DEM.FAR+BE.V.3S.PRES				SEB	eng	herring7		
385	50	2	the	the.DET.DEF				SEB	eng	herring7		
386	50	3	that's	that.DEM.FAR+BE.V.3S.PRES				SEB	eng	herring7		
387	50	4	the	the.DET.DEF				SEB	eng	herring7		
388	50	5	cool	cool.N.SG				SEB	eng	herring7		
389	50	6	part	part.N.SG				SEB	eng	herring7		
390	50	7	that	that.CONJ				SEB	eng	herring7		
391	50	8	they	they.PRON.SUB.3P				SEB	eng	herring7		
392	50	9	don't	do.V.3P.PRES+NEG				SEB	eng	herring7		
393	50	10	show	show.V.INFIN				SEB	eng	herring7		
394	50	11	you	you.PRON.SUB.2SP				SEB	eng	herring7		
395	50	12	in	in.PREP				SEB	eng	herring7		
396	50	13	the	the.DET.DEF				SEB	eng	herring7		
397	50	14	in	in.PREP				SEB	eng	herring7		
398	50	15	the	the.DET.DEF				SEB	eng	herring7		
399	50	16	in	in.PREP				SEB	eng	herring7		
400	50	17	the	the.DET.DEF				SEB	eng	herring7		
401	50	18	movie	movie.N.SG				SEB	eng	herring7		
402	50	19	.					SEB	999	herring7		
403	51	1	yeah	yeah.ADV				RIC	eng	herring7		
404	51	2	but	but.CONJ				RIC	eng	herring7		
405	51	3	they	they.PRON.SUB.3P				RIC	eng	herring7		
406	51	4	can't	can.V.123SP.PRES+NEG				RIC	eng	herring7		
407	51	5	do	do.V.INFIN				RIC	eng	herring7		
408	51	6	that	that.CONJ.[or].that.DEM.FAR				RIC	eng	herring7		
409	51	7	in	in.PREP				RIC	eng	herring7		
410	51	8	the	the.DET.DEF				RIC	eng	herring7		
411	51	9	movie	movie.N.SG				RIC	eng	herring7		
412	51	10	.					RIC	999	herring7		
413	52	1	why	why.REL				SEB	eng	herring7		
414	52	2	?					SEB	999	herring7		
415	53	1	because	because.CONJ				RIC	eng	herring7		
416	53	2	all	all.ADJ				RIC	eng	herring7		
417	53	3	all	all.ADJ				RIC	eng	herring7		
418	53	4	the	the.DET.DEF				RIC	eng	herring7		
419	53	5	monsters	monster.N.PL				RIC	eng	herring7		
420	53	6	look	look.V.3P.PRES				RIC	eng	herring7		
