word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	no	not.ADV				MIG	spa	herring2		
2	1	2	se	be.V.2P.IMPER.PRECLITIC				MIG	spa	herring2		
3	1	3	no	not.ADV				MIG	spa	herring2		
4	1	4	se	self.PRON.REFL.MF.3SP				MIG	spa	herring2		
5	1	5	andan	walk.V.3P.PRES				MIG	spa	herring2		
6	1	6	juntando	joint.V.PRESPART				MIG	spa	herring2		
7	1	7	con	with.PREP				MIG	spa	herring2		
8	1	8	todo	everything.PRON.M.SG				MIG	spa	herring2		
9	1	9	el	the.DET.DEF.M.SG				MIG	spa	herring2		
10	1	10	mundo	world.N.M.SG				MIG	spa	herring2		
11	1	11	me	me.PRON.OBL.MF.1S				MIG	spa	herring2		
12	1	12	entendés	understand.V.2S.PRES				MIG	spa	herring2		
13	1	13	o	or.CONJ				MIG	spa	herring2		
14	1	14	sea	be.V.13S.SUBJ.PRES				MIG	spa	herring2		
15	1	15	que	that.CONJ				MIG	spa	herring2		
16	1	16	no	not.ADV				MIG	spa	herring2		
17	1	17	hay	there_is.V.3S.PRES				MIG	spa	herring2		
18	1	18	.					MIG	999	herring2		
19	2	1	no	not.ADV				TOM	spa	herring2		
20	2	2	hay	there_is.V.3S.PRES				TOM	spa	herring2		
21	2	3	drama	drama.N.M.SG				TOM	spa	herring2		
22	2	4	.					TOM	999	herring2		
23	3	1	sí	yes.ADV				MIG	spa	herring2		
24	3	2	exactamente	just.ADV				MIG	spa	herring2		
25	3	3	lo	the.DET.DEF.NT.SG				MIG	spa	herring2		
26	3	4	que	that.PRON.REL				MIG	spa	herring2		
27	3	5	te	you.PRON.OBL.MF.2S				MIG	spa	herring2		
28	3	6	iba	go.V.13S.IMPERF				MIG	spa	herring2		
29	3	7	a	to.PREP				MIG	spa	herring2		
30	3	8	decir	tell.V.INFIN				MIG	spa	herring2		
31	3	9	.					MIG	999	herring2		
32	4	1	.					TOM	999	herring2		
33	5	1	no	not.ADV				MIG	spa	herring2		
34	5	2	hay	there_is.V.3S.PRES				MIG	spa	herring2		
35	5	3	lugar	place.N.M.SG				MIG	spa	herring2		
36	5	4	para	for.PREP				MIG	spa	herring2		
37	5	5	drama	drama.N.M.SG				MIG	spa	herring2		
38	5	6	me	me.PRON.OBL.MF.1S				MIG	spa	herring2		
39	5	7	entendés	understand.V.2S.PRES				MIG	spa	herring2		
40	5	8	.					MIG	999	herring2		
41	6	1	o	or.CONJ				MIG	spa	herring2		
42	6	2	sea	be.V.13S.SUBJ.PRES				MIG	spa	herring2		
43	6	3	sólo	solely.ADV				MIG	spa	herring2		
44	6	4	son	be.V.3P.PRES				MIG	spa	herring2		
45	6	5	ellos	they.PRON.SUB.M.3P				MIG	spa	herring2		
46	6	6	dos	two.NUM				MIG	spa	herring2		
47	6	7	me	me.PRON.OBL.MF.1S				MIG	spa	herring2		
48	6	8	entendés	understand.V.2S.PRES				MIG	spa	herring2		
49	6	9	no	not.ADV				MIG	spa	herring2		
50	6	10	.					MIG	999	herring2		
51	7	1	nunca	never.ADV				TOM	spa	herring2		
52	7	2	salen	exit.V.3P.PRES				TOM	spa	herring2		
53	7	3	y	and.CONJ				TOM	spa	herring2		
54	7	4	nada	nothing.PRON				TOM	spa	herring2		
55	7	5	.					TOM	999	herring2		
56	8	1	a	to.PREP				MIG	spa	herring2		
57	8	2	sí	yes.ADV.[or].himself.PRON.PREP.MF.3S				MIG	spa	herring2		
58	8	3	no	not.ADV				MIG	spa	herring2		
59	8	4	hay	there_is.V.3S.PRES				MIG	spa	herring2		
60	8	5	como	like.CONJ				MIG	spa	herring2		
61	8	6	que	that.CONJ				MIG	spa	herring2		
62	8	7	que	that.CONJ				MIG	spa	herring2		
63	8	8	anduvieron	walk.V.3P.PAST				MIG	spa	herring2		
64	8	9	que	that.CONJ				MIG	spa	herring2		
65	8	10	hablando	talk.V.PRESPART				MIG	spa	herring2		
66	8	11	que	that.CONJ				MIG	spa	herring2		
67	8	12	no	not.ADV				MIG	spa	herring2		
68	8	13	sé	know.V.1S.PRES				MIG	spa	herring2		
69	8	14	qué	what.INT				MIG	spa	herring2		
70	8	15	que	that.CONJ				MIG	spa	herring2		
71	8	16	no	not.ADV				MIG	spa	herring2		
72	8	17	se	be.V.2P.IMPER.PRECLITIC				MIG	spa	herring2		
73	8	18	cuánto	how_much.ADJ.INT.M.SG.[or].how_much.PRON.INT.M.SG				MIG	spa	herring2		
74	8	19	.					MIG	999	herring2		
75	9	1	y	and.CONJ				MIG	spa	herring2		
76	9	2	y	and.CONJ				MIG	spa	herring2		
77	9	3	ni	nor.CONJ				MIG	spa	herring2		
78	9	4	por	for.PREP				MIG	spa	herring2		
79	9	5	porque	because.CONJ				MIG	spa	herring2		
80	9	6	ya	already.ADV				MIG	spa	herring2		
