word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	so	so.ADV				KAY	eng	sastre9		
2	1	2	sí	yes.ADV				KAY	spa	sastre9		
3	1	3	hay	there_is.V.3S.PRES				KAY	spa	sastre9		
4	1	4	un	one.DET.INDEF.M.SG				KAY	spa	sastre9		
5	1	5	range	range.N.SG				KAY	eng	sastre9		
6	1	6	ahí	there.ADV				KAY	spa	sastre9		
7	1	7	.					KAY	999	sastre9		
8	2	1	mmhm	mmhm.IM				VAL	eng	sastre9		
9	2	2	.					VAL	999	sastre9		
10	3	1	donde	where.REL				KAY	spa	sastre9		
11	3	2	los	the.DET.DEF.M.PL				KAY	spa	sastre9		
12	3	3	policías	policewoman.N.F.PL.[or].policewoman.N.M				KAY	spa	sastre9		
13	3	4	practican	practise.V.3P.PRES				KAY	spa	sastre9		
14	3	5	.					KAY	999	sastre9		
15	4	1	y	and.CONJ				KAY	spa	sastre9		
16	4	2	y	and.CONJ				KAY	spa	sastre9		
17	4	3	la	the.DET.DEF.F.SG				KAY	spa	sastre9		
18	4	4	gente	people.N.F.SG				KAY	spa	sastre9		
19	4	5	que	that.PRON.REL				KAY	spa	sastre9		
20	4	6	están	be.V.3P.PRES				KAY	spa	sastre9		
21	4	7	los	the.DET.DEF.M.PL				KAY	spa	sastre9		
22	4	8	trainees	trainee.N.PL				KAY	eng	sastre9		
23	4	9	the	the.DET.DEF				KAY	eng	sastre9		
24	4	10	police	police.N.SG				KAY	eng	sastre9		
25	4	11	trainees	trainee.N.PL				KAY	eng	sastre9		
26	4	12	.					KAY	999	sastre9		
27	5	1	they	they.PRON.SUB.3P				KAY	eng	sastre9		
28	5	2	do	do.V.3P.PRES				KAY	eng	sastre9		
29	5	3	it	it.PRON.OBJ.3S				KAY	eng	sastre9		
30	5	4	every	every.ADJ				KAY	eng	sastre9		
31	5	5	day	day.N.SG				KAY	eng	sastre9		
32	5	6	.					KAY	999	sastre9		
33	6	1	so	so.ADV				KAY	eng	sastre9		
34	6	2	when	when.CONJ				KAY	eng	sastre9		
35	6	3	you	you.PRON.SUB.2SP				KAY	eng	sastre9		
36	6	4	come	come.V.2SP.PRES				KAY	eng	sastre9		
37	6	5	here	here.ADV				KAY	eng	sastre9		
38	6	6	don't	do.V.12S13P.PRES+NEG				KAY	eng	sastre9		
39	6	7	be	be.V.INFIN				KAY	eng	sastre9		
40	6	8	afraid	afraid.ADJ				KAY	eng	sastre9		
41	6	9	if	if.CONJ				KAY	eng	sastre9		
42	6	10	you	you.PRON.SUB.2SP				KAY	eng	sastre9		
